Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8742327718906922,0.13650102811323397,0.2915825013322293,0.29773589538619555,0.2018713827275942,0.35654728196026436,0.3360313317631641,0.5226803439273445,0.2828588856679531,0.45528917443931105,0.13065452751712736,0.09423833987571031,0.49453393923651795,0.16455213475025532,0.33164697118309283,0.34446791320876796,0.13991584818529543,0.33811803466909623,0.21683936983717594,0.20857649616245805,0.3049663395211938,-0.0007956567569890336,0.3945843733469138,0.39134697585260536,0.1151490132008911,0.2458028586259034,0.40566412739227775,0.24375207896029524,0.4831361669543136,0.3045447926385933,0.31565893828886393,0.11501655149208942,0.5459596333932084,0.4849098585045118,0.4039462756861802,0.48709678829663877,0.2891926637601976,0.5446973988449255,0.4102982543331034,0.16625555123449853,0.20384725008722163,0.3240711368540584,0.4235630087690204,0.11579045507499162,0.14167733642876768,0.28328071027247675,0.19041163423274673,0.3611521740873146,0.22400300357869157
ADANIPORTS,0.8742327718906922,1.0,-0.8119934011599106,0.8209249811143884,0.837010008779561,-0.8071229809616741,0.8513839292960692,-0.8032517660371007,0.8861000576304447,-0.7983478323694593,0.866240183068104,-0.8191930832522925,0.7889679194542251,0.8764249346924998,-0.8020381792635805,-0.7873858375913552,0.8379305359560367,0.7822299518036718,0.7105728462041075,0.8162352801030103,-0.8081339857185044,0.8368465065551689,-0.8181496931463048,0.857931786216189,-0.07036554073341415,-0.674151190043304,0.8333467318281501,-0.6493417373694094,-0.731167440783152,-0.6607653806016601,0.8048245870942138,-0.8004482534523614,0.8061033065969496,0.8904179420980078,0.8346365362328956,0.6743561663117041,-0.7895576245978103,0.09538440443042767,0.8815807916530649,-0.7222332200724766,0.8179819559388071,0.7945611199734437,0.7456707450486803,0.8620327377911416,-0.8196739567212138,0.7975392177441911,-0.7419112006846104,0.657461244134933,-0.4269715111660225,0.8246659406629944
APOLLOHOSP,0.13650102811323397,-0.8119934011599106,1.0,-0.9222816022437752,-0.9035430538105228,0.9952333190706532,-0.9550685936917113,0.9964648091029215,-0.9210610698401981,0.9943501869841107,-0.916757776180106,0.9978259768309142,-0.9324971592632557,-0.9039764756380505,0.9916214477739017,0.9890661066498646,-0.9217868351544495,-0.8991824818787986,-0.6654712620021703,-0.9272850972124224,0.9957111955791687,-0.9355759249561647,0.995593271656197,-0.9383458632556814,0.3677163804683764,0.874596339680783,-0.9623315940991066,0.9196911222852976,0.9552881073238484,0.9372533606746285,-0.861734442182872,0.9944918866024406,-0.9608392628259731,-0.9322989162601766,-0.7894117084796279,-0.5050987061224368,0.9948487632496296,0.09209238566706734,-0.8842692339216656,0.9684691014380444,-0.9418717094996009,-0.8972334085687379,-0.7422474079035593,-0.9310937804757213,0.9977268378013249,-0.9295284584954678,0.9637480997122769,-0.6955705453003227,0.7274512053204693,-0.9500812275421129
ASIANPAINT,0.2915825013322293,0.8209249811143884,-0.9222816022437752,1.0,0.866682908305775,-0.9219367893348637,0.9201353841120491,-0.921417039563414,0.8858199080713538,-0.9208497473248565,0.8898039223746653,-0.9283821931483597,0.8932925772053322,0.8787576234027816,-0.9162671716097329,-0.9056054957542192,0.9121347110967046,0.8641267263100004,0.6975071733016558,0.8954597865983304,-0.9222520567148059,0.9008462404570279,-0.9211729123426977,0.8979781580474023,-0.27378636786366806,-0.7935768298745829,0.9260445382581661,-0.8015517324763982,-0.868892026183188,-0.8398712978881376,0.8367861620855325,-0.9176768156039944,0.9263783343973251,0.9019295544689464,0.7714116830553133,0.5158341289118532,-0.9167264333211079,0.004477573458428632,0.8480347997665111,-0.8794712611419989,0.9074252263023148,0.8782358808085915,0.7267441573836478,0.910227541796233,-0.9301970276106234,0.8919865120012251,-0.8637301713461758,0.7110783786063056,-0.595048565313558,0.9054613894916466
AXISBANK,0.29773589538619555,0.837010008779561,-0.9035430538105228,0.866682908305775,1.0,-0.9000546819728159,0.9204293320362819,-0.8987720152518326,0.8964403692197064,-0.896332661587919,0.8762739842992101,-0.9097499342109955,0.8680331286655721,0.8873679097016197,-0.8984435470923964,-0.8820383872179722,0.9028293092144565,0.8464174362130471,0.7423846550700908,0.8869598380822437,-0.9017191086869744,0.887537670465417,-0.9079495139238984,0.9464956141409738,-0.19727843828836872,-0.7771638500398821,0.9098070225437066,-0.7712598182435606,-0.8334485970769835,-0.7981621228599685,0.8417766122299293,-0.8964419585662929,0.8911199550846315,0.9111970890674125,0.8049954137535179,0.57472579605571,-0.8904078760984675,0.001226549340320901,0.9086593182284158,-0.8310464993740241,0.8837742274820809,0.8464436533473989,0.7491874262095427,0.9079041140440692,-0.9102488312029358,0.8720073657364424,-0.8587158082310679,0.6976439189391115,-0.5377224050675257,0.8962095221410891
BAJAJ-AUTO,0.2018713827275942,-0.8071229809616741,0.9952333190706532,-0.9219367893348637,-0.9000546819728159,1.0,-0.9525844769694748,0.994995355332524,-0.9177714219087859,0.9935300142352488,-0.9127165435976533,0.9962132353926416,-0.9351334096447467,-0.9013136378380388,0.9892644242476901,0.9882482999860146,-0.9203952082377018,-0.9011775249034197,-0.6582432229123647,-0.9233214274437096,0.9957437152224891,-0.9291351233983774,0.9943552247721884,-0.9374810864919256,0.3757575116489338,0.869111221897032,-0.9607678266445868,0.9186256177585783,0.9531771756596502,0.9356100062600872,-0.8571704835640761,0.9945665003058433,-0.959289044788505,-0.9293444917813773,-0.785444459108634,-0.5021187440485649,0.9938753132494809,0.09762909898112743,-0.8824328064026934,0.9687000227444097,-0.9424195162119248,-0.8917486225279853,-0.7337001991950257,-0.9271249589805783,0.9961714553459171,-0.9310007574598599,0.9623997963358735,-0.684973850446157,0.7294760810273083,-0.9504582336456248
BAJAJFINSV,0.35654728196026436,0.8513839292960692,-0.9550685936917113,0.9201353841120491,0.9204293320362819,-0.9525844769694748,1.0,-0.9459740762844288,0.9285167696510852,-0.9501188008317619,0.9244728411297244,-0.9608725057855246,0.9168613821520638,0.9092648485771005,-0.9451094315627177,-0.9406366807996538,0.9385126731685471,0.905003586252186,0.7114039599281827,0.9315449467045975,-0.9533398567727294,0.9312169737981658,-0.9565789302722,0.9456218073169012,-0.23878024242236823,-0.8070937507110342,0.9516503246419978,-0.829795212867682,-0.896058276628614,-0.859033278510795,0.8840167865256534,-0.9491109153080997,0.9491812939249462,0.9399950339311293,0.818252247439484,0.5688254152246929,-0.9473513869236991,0.0322328556207003,0.9098440274519317,-0.8953977935517701,0.9320881151330952,0.9036787137521175,0.7750959337482168,0.9462634466475937,-0.9612529350817931,0.9197671259404914,-0.8997518510785221,0.7139654453790141,-0.600535728858057,0.9446452452841487
BAJFINANCE,0.3360313317631641,-0.8032517660371007,0.9964648091029215,-0.921417039563414,-0.8987720152518326,0.994995355332524,-0.9459740762844288,1.0,-0.9188739307400009,0.9947414973505349,-0.9143147889761589,0.9978387594617254,-0.936643677681566,-0.903061391714868,0.990384879101216,0.9880485344797859,-0.9191475518218004,-0.9019693428160271,-0.6545379064578954,-0.9233477658845919,0.9953135487496546,-0.9311957221383,0.9957228352911527,-0.9343038320010589,0.3850251551498756,0.8770824420880367,-0.9601808963577363,0.9227895071385439,0.9588227713304485,0.9406820089285087,-0.8612811139157397,0.9950724115949515,-0.9605232913089192,-0.9292740514100601,-0.7837320410364548,-0.501371773361004,0.9959918840756542,0.10367974620405597,-0.8778248649141085,0.9714321787202487,-0.9450806157875328,-0.8932440739888823,-0.742338848327234,-0.9282527833248918,0.9978074001172033,-0.9294980566220933,0.9640357320333189,-0.68894766976538,0.7349462689118345,-0.9498663013609409
BEL,0.5226803439273445,0.8861000576304447,-0.9210610698401981,0.8858199080713538,0.8964403692197064,-0.9177714219087859,0.9285167696510852,-0.9188739307400009,1.0,-0.9128258438599898,0.9296283029670837,-0.9283249009685032,0.8835166596402727,0.941697283818851,-0.9150819196492552,-0.9019707421971698,0.9100392059761929,0.8790155739977319,0.7153688162688936,0.9000281052246604,-0.9230202436362298,0.9201705981007818,-0.9279435428905148,0.9152779407511437,-0.22807875385635482,-0.7806661023597191,0.9202320452459971,-0.7802683176700784,-0.8573251221656778,-0.7887581151557552,0.8769955848645489,-0.9168342226520837,0.9042938756254627,0.9496246173783419,0.8692251628331361,0.652677721810272,-0.9078050826893659,0.0018906964245428716,0.925651322046562,-0.850981546853551,0.9013853141787876,0.8660331693764697,0.7892642032695271,0.9385502586398055,-0.9283713645221409,0.8981911484518579,-0.8757752418736142,0.7211320088268639,-0.5526122765303539,0.9162001976222971
BHARTIARTL,0.2828588856679531,-0.7983478323694593,0.9943501869841107,-0.9208497473248565,-0.896332661587919,0.9935300142352488,-0.9501188008317619,0.9947414973505349,-0.9128258438599898,1.0,-0.9087307191294935,0.9951094216236804,-0.9312645310611898,-0.8974354643878808,0.9892051603582859,0.9879037103968034,-0.9148825500881897,-0.8939317082781572,-0.6536719785430621,-0.9205536177426239,0.9931794526983503,-0.9244822450700213,0.9935530004468798,-0.9274849454407738,0.38008930765354626,0.8822820865658063,-0.9561856527255556,0.9243849533631602,0.9593731409252989,0.9405848025473391,-0.853523367527333,0.99386778381812,-0.9594509182158446,-0.9217927059466683,-0.7736187821716318,-0.4875654894243183,0.9941070947001482,0.10499032450591125,-0.874434579037961,0.9700945781503684,-0.9369432297383141,-0.8869824023380034,-0.7320842532421371,-0.9240878307557626,0.9951766433364032,-0.9215216545158423,0.9640278034637801,-0.6804483596213594,0.7372238734452542,-0.9444423143558764
BPCL,0.45528917443931105,0.866240183068104,-0.916757776180106,0.8898039223746653,0.8762739842992101,-0.9127165435976533,0.9244728411297244,-0.9143147889761589,0.9296283029670837,-0.9087307191294935,1.0,-0.9232101317619353,0.8765899393365533,0.9373429806863774,-0.9071448872312781,-0.8982545102122624,0.9081088724368256,0.8617573052958831,0.687612026231383,0.8862137650778722,-0.913085719286291,0.9129982808532602,-0.9210254974898703,0.9006060546929888,-0.20500973579372073,-0.7820374685040298,0.9110594444727329,-0.7872243083759569,-0.86376746188956,-0.7977481783020269,0.8579711621955878,-0.9088506402123531,0.8986993120868706,0.9450642633129138,0.8747822454962805,0.6516811638795916,-0.9022238281003969,0.016669423381804292,0.9148118222924566,-0.8530263987040163,0.9019516244029837,0.8589466593964467,0.8006362539285714,0.9282708670197554,-0.9227559938088399,0.8913649079145226,-0.8585068470562127,0.7059767407623072,-0.5537752754044832,0.907113308913714
BRITANNIA,0.13065452751712736,-0.8191930832522925,0.9978259768309142,-0.9283821931483597,-0.9097499342109955,0.9962132353926416,-0.9608725057855246,0.9978387594617254,-0.9283249009685032,0.9951094216236804,-0.9232101317619353,1.0,-0.9391326543355369,-0.9122407968757079,0.9921134695418022,0.9884726884370891,-0.929041431114774,-0.9083183365777686,-0.6716976915818808,-0.9327845076365273,0.9967349621083994,-0.9385524064634235,0.9977495506207193,-0.9438481058155025,0.3619809944458097,0.8732540523361697,-0.9660098973311597,0.9152909968544815,0.9555554090100677,0.9340659907968325,-0.8710406878540726,0.9956724549700722,-0.9650692229499066,-0.9384701393052288,-0.7978922169838066,-0.5169169801604575,0.9957355769960274,0.08273358932942003,-0.8918293061714251,0.9658871184613999,-0.9491241267335897,-0.8994294623260561,-0.7522858523669534,-0.9384655349067342,0.9998615490113933,-0.9349341909864033,0.9614166794873154,-0.7010622873828142,0.7180023044818712,-0.9558517619743355
